report_id, validation, latitude, longitude, type, unit, amount, date, description, image
beowtuyima, true, 49.761635565299336, 33.835939732221675, danger, plane, 669, 2024-01-27 19:55:52.519137, kmjaqnwdav, adznrqkqif.png
qlhetzyxhy, true, 49.082600172860836, 34.36993385236011, info, plane, 694, 2024-01-27 19:55:52.520282, fkafvicuhw, xvxupodhzs.png
xbwespbjpk, false, 49.51368616058993, 32.61192989009422, warning, helicopter, 504, 2024-01-27 19:55:52.520282, gsarcraoyz, majgnieurp.png
pmpzlroiqe, true, 49.61267735209196, 33.54933310020431, danger, plane, 139, 2024-01-27 19:55:52.520282, scivoublbi, pnnudlcpwt.png
jyvudwzsog, true, 50.74041234050891, 32.304823322447504, info, helicopter, 143, 2024-01-27 19:55:52.520282, eliequngxu, vdgdlmwbyn.png
xjlkojabsf, false, 50.756201472653416, 33.420810542426885, warning, plane, 341, 2024-01-27 19:55:52.520282, jjiolgeech, hexwpexyax.png
wtpnimsdvl, false, 50.9970477622096, 33.349001092961956, warning, infantry, 806, 2024-01-27 19:55:52.520282, cwngqlcsrd, lgqisicznp.png
pxmwpvywjc, true, 49.63226764123562, 32.969533718986355, danger, tank, 75, 2024-01-27 19:55:52.520282, mzkgmpuoyf, jbuqkqggjk.png
nyyxwbnqjv, true, 49.64231202649902, 32.314499052484656, danger, infantry, 447, 2024-01-27 19:55:52.520282, qaqvtohkqs, rvwoxfshpc.png
crbyntkmhj, false, 49.64821935143241, 32.80312094469594, info, tank, 49, 2024-01-27 19:55:52.520282, mlxvnfjdvn, qwgfuzqamb.png
mfmuscrvcz, false, 50.05587597408352, 32.12939576235137, warning, infantry, 42, 2024-01-27 19:55:52.520282, vuqdlqcgmb, hncxnqnyba.png
zmcwilxhbj, false, 49.94644229099807, 33.08469491612379, danger, helicopter, 431, 2024-01-27 19:55:52.520282, mboaahccwz, tvehrmfrrl.png
yydahigzqa, true, 49.241882080771326, 34.456443756176114, info, tank, 302, 2024-01-27 19:55:52.520282, effuvjxjtv, dxstucioml.png
zwsoaucevz, false, 50.061562861829444, 32.952112733977515, danger, helicopter, 193, 2024-01-27 19:55:52.520282, rqtepdjqze, nnirjpdmsl.png
alzbhyqthj, true, 50.16770941683456, 32.58221199312011, danger, helicopter, 296, 2024-01-27 19:55:52.520282, bilklodklk, yfhjfdaryl.png
sgazeqbtvg, true, 49.71685809747414, 33.30870439790969, warning, tank, 385, 2024-01-27 19:55:52.520282, rbjvhsbxcx, ugetwcuckw.png
xtpiiyeyiv, false, 49.03746365796567, 32.5665473244813, danger, plane, 429, 2024-01-27 19:55:52.520282, wybypsbywh, jczmccpwce.png
rmbefjiyhh, true, 49.69902992262671, 33.140953072442294, danger, helicopter, 759, 2024-01-27 19:55:52.520282, qgqrlxczkj, udccqfeovz.png
csojsuwoti, true, 49.650686095750494, 32.481024755990056, warning, tank, 957, 2024-01-27 19:55:52.520282, uanljbpbog, kkpqpwmhcu.png
rhjlqywmgi, true, 50.41640721655949, 33.40967868879843, info, tank, 929, 2024-01-27 19:55:52.520282, mjmrehvmbt, zkyobgbumj.png
otcunfljpz, false, 49.038225061252106, 32.4511629684133, info, infantry, 372, 2024-01-27 19:55:52.520282, cpwtrefzeh, rimfqkyckt.png
scgdwxgndi, false, 50.69638594762514, 32.50871364765251, danger, plane, 847, 2024-01-27 19:55:52.520282, yujtbgorid, izhbbxslxi.png
jsnxckwivv, false, 50.78690431176319, 34.42540511812333, info, tank, 491, 2024-01-27 19:55:52.520282, mlalnesgva, pbemmtropc.png
cwrcshplsg, false, 50.10352637589026, 34.018780601416374, danger, infantry, 572, 2024-01-27 19:55:52.520282, wlojkskezn, srpawyikzc.png
ermpvehero, true, 49.16920819113143, 33.624603543028805, info, infantry, 908, 2024-01-27 19:55:52.520282, adiktfssvw, feiaytuuqw.png
pvkcedneyf, false, 49.03889867689533, 32.76777420516932, info, tank, 513, 2024-01-27 19:55:52.520282, hrjpncdlrg, hpvovvsjfz.png
kqpxzdslpx, true, 50.466107181787685, 32.75560473947564, danger, helicopter, 533, 2024-01-27 19:55:52.520282, btbxoeqnok, ksyzstdilr.png
xefsdknpxg, true, 49.686921717089156, 32.87579683384643, info, tank, 352, 2024-01-27 19:55:52.520282, ubjephfaeg, xnwijyegib.png
dersyqlgge, true, 49.766675679790126, 34.66264440280477, warning, infantry, 502, 2024-01-27 19:55:52.520282, sjlhmqofai, sixlyigctd.png
rrlumkgnwl, false, 50.910746646410765, 32.71858701440396, warning, plane, 325, 2024-01-27 19:55:52.520282, dmfqqfxprj, jxwkufmeam.png
uhlwidopxs, true, 49.021798591585515, 34.44939757085142, warning, plane, 297, 2024-01-27 19:55:52.520282, qpxqplhjjs, gaayeftmgq.png
lnqcadusfm, true, 50.18541838902242, 34.05045736003692, info, helicopter, 180, 2024-01-27 19:55:52.520282, craybameed, fdjmzqzkjc.png
sfgdtkrdbj, false, 49.28724427580474, 32.51439903506979, warning, helicopter, 412, 2024-01-27 19:55:52.520282, kynsjiywbe, aiyaffqfig.png
odcwrqyaqm, true, 49.830979395992976, 32.41123308195751, warning, plane, 933, 2024-01-27 19:55:52.520282, ttrgjtuana, bhtujznenn.png
rejyljojgm, false, 50.30299773493601, 33.825441962388105, danger, infantry, 387, 2024-01-27 19:55:52.520282, hisiuhurpz, kzzcdruxqy.png
qfifrbqbxo, false, 50.19414592065389, 33.661067509039455, warning, helicopter, 609, 2024-01-27 19:55:52.520282, ftcdmexscu, anhmhddoof.png
sjlotalupm, false, 49.90892002268877, 33.74268668128618, warning, helicopter, 445, 2024-01-27 19:55:52.520282, vcxztsnbpt, eftvnxlcyg.png
ohhkbzjids, false, 50.97415980507305, 33.918023414335664, warning, infantry, 923, 2024-01-27 19:55:52.520282, dborinkbke, dcejwafqqs.png
ijyxepxjyp, false, 49.62454022478034, 32.79526033926684, danger, plane, 385, 2024-01-27 19:55:52.520282, jxddcbdthg, opfhrhizxl.png
hibzxiomzu, true, 49.379044965384224, 33.42734937683406, danger, helicopter, 552, 2024-01-27 19:55:52.520282, txhpmflwjh, dnfuvzzcjr.png
ycvsiukihg, true, 49.32569148382306, 34.65773572178216, danger, plane, 65, 2024-01-27 19:55:52.520282, otxvgkvnxs, sdkldaffvs.png
wmwzowkike, false, 49.9779004668718, 32.65544958660375, info, helicopter, 955, 2024-01-27 19:55:52.520282, kdfyequxqk, pezempiluu.png
ldothqotct, false, 49.70074781738321, 34.082950099761305, warning, infantry, 846, 2024-01-27 19:55:52.520282, xokhnlvqwv, rtndkkppvy.png
zliqranrgz, false, 50.53823612970673, 32.196037971183905, info, tank, 622, 2024-01-27 19:55:52.520282, qqhfeogdvu, zcmbiyjjba.png
ofswagkadc, true, 49.893501336026056, 32.1284435772808, warning, tank, 924, 2024-01-27 19:55:52.520282, lmxkjtdart, ervjtpwpwq.png
nhlmgbjmdk, false, 50.318515504104695, 33.48037023099566, warning, helicopter, 530, 2024-01-27 19:55:52.520282, zpjasxznjx, ihgtnjgaux.png
yukqndkgbd, false, 50.587352982242535, 32.32475805753593, warning, helicopter, 302, 2024-01-27 19:55:52.520282, naafjkgqdx, uxshlerjob.png
mgkjjcfynw, true, 50.77926667986984, 32.931304308904856, info, tank, 803, 2024-01-27 19:55:52.520282, iagfzjsbtl, mgzmsoywvg.png
dcsneodykg, false, 50.53836310249205, 33.56390274131132, info, plane, 724, 2024-01-27 19:55:52.520282, fqeqqmeciz, sfqcmpcvtm.png
lqqxbkuzet, true, 50.130173114337325, 34.80142192285741, info, helicopter, 985, 2024-01-27 19:55:52.520282, leffynqmaf, osycfhziye.png
xmcbrqxhxt, true, 50.67382416868129, 33.266743799237126, danger, helicopter, 783, 2024-01-27 19:55:52.520282, fdtqoiubap, gzzndmgmpe.png
vdffeoyiew, false, 49.77885947347181, 33.673671868913445, info, tank, 470, 2024-01-27 19:55:52.521298, whhwuwigff, lmysnujdaz.png
vbotvgchux, false, 49.52967586345217, 32.35818533674039, info, infantry, 494, 2024-01-27 19:55:52.521298, quqyywrczk, glsccnpwhu.png
ovukeelnzg, true, 50.768952154038665, 33.98504189200017, danger, infantry, 497, 2024-01-27 19:55:52.521298, fxnpdgvagh, xkpqauzqfv.png
duttenhwoe, false, 50.93023135597971, 32.42587462898953, info, infantry, 81, 2024-01-27 19:55:52.521298, tllngnvfcg, iaklxvbzaz.png
iecnvsnemf, false, 49.28257753967291, 32.651026513764194, warning, helicopter, 671, 2024-01-27 19:55:52.521298, qmrziwubht, vkhzcezsew.png
telxtxyebz, false, 49.42223870425761, 32.151190174005045, danger, infantry, 730, 2024-01-27 19:55:52.521298, ezqvmeimbw, efrztkchbc.png
bexpsfoima, false, 50.59995469506939, 33.89730922598202, danger, helicopter, 49, 2024-01-27 19:55:52.521298, rgubikuwgt, rximzkgtxm.png
thwqgxoikx, false, 49.751620403083706, 34.21026255641308, info, helicopter, 551, 2024-01-27 19:55:52.521298, ockwjymwtw, fjuscxnewd.png
jzidxyrrfq, false, 50.070336140837554, 32.376414545857315, warning, helicopter, 526, 2024-01-27 19:55:52.521298, sscsvxuvtq, welggpuias.png
gnpructsne, true, 49.40541278869298, 34.82092721934769, warning, plane, 222, 2024-01-27 19:55:52.521298, wrhzqquodr, xmqfikwmbx.png
